From;To;Type;Through;-1;-1;-1;-1;Comment
291;290;sea;1185;-1;-1;-1;-1;lydnburh-pacsilden
292;247;sea;1185;-1;-1;-1;-1;cherscol-landscopse
290;268;sea;1185;-1;-1;-1;-1;pacsilden-coctenford
246;269;sea;1185;-1;-1;-1;-1;muntcopse-asterisle
270;272;sea;1166;-1;-1;-1;-1;withenworth-pithesburn
282;273;sea;1247;-1;-1;-1;-1;wollonswode-codwulf
269;274;sea;1135;-1;-1;-1;-1;asterisle-pikesbourne
255;260;sea;1174;-1;-1;-1;-1;stenvar-rypefjell
704;615;sea;1197;-1;-1;-1;-1;selfvik-vidvagfjord
690;698;sea;1238;-1;-1;-1;-1;haugheim-torskheim
615;613;sea;1197;-1;-1;-1;-1;vidvagfjord-langeland
696;698;sea;1238;-1;-1;-1;-1;rekeheim-torskheim
627;624;sea;1197;-1;-1;-1;-1;halsberg-hurvaldberg
630;631;sea;1161;-1;-1;-1;-1;fylkesund-geirangerfjord
75;76;sea;1237;-1;-1;-1;-1;irdhboll-dinwall
64;63;sea;1161;-1;-1;-1;-1;hourn-armendhale
641;639;sea;1161;-1;-1;-1;-1;kirkland-osreney
565;568;sea;1169;-1;-1;-1;-1;deiscirt-oielan_gear
643;639;sea;1184;-1;-1;-1;-1;ingentey-osreney
643;52;sea;1184;-1;-1;-1;-1;ingentey-amlwch
643;642;sea;1184;-1;-1;-1;-1;ingentey-ingeney
71;45;sea;1248;-1;-1;-1;-1;loch_culnanoc-carnowyle
639;640;sea;1232;-1;-1;-1;-1;osreney-kreney
639;642;sea;1184;-1;-1;-1;-1;osreney-ingeney
40;57;sea;1184;-1;-1;-1;-1;ben_stropaidh-bodwyddan_plates
640;56;sea;1232;-1;-1;-1;-1;kreney-alos
55;56;sea;1232;-1;-1;-1;-1;abertyr-alos
579;578;sea;1164;-1;-1;-1;-1;siltaleyne-tervassene
56;636;sea;1146;-1;-1;-1;-1;alos-norveney
607;636;sea;1146;-1;-1;-1;-1;kongmordland-norveney
575;573;sea;1164;-1;-1;-1;-1;donvarene-calirene
17;18;sea;1129;-1;-1;-1;-1;schierkum-kooge
27;520;sea;1212;-1;-1;-1;-1;felmeer-pol_bijlmer
48;601;sea;1131;-1;-1;-1;-1;valtyr-irvandvik
573;545;sea;1164;-1;-1;-1;-1;calirene-versollen
528;527;sea;1212;-1;-1;-1;-1;pol_zwanen-gierenwijk
603;59;sea;1131;-1;-1;-1;-1;ostervainvik-sones
526;525;sea;1212;-1;-1;-1;-1;de_aker-middenmeer
546;770;sea;1206;-1;-1;-1;-1;elfenbos-paravennaar
59;599;sea;1231;-1;-1;-1;-1;sones-strandvik
1086;1078;sea;1231;-1;-1;-1;-1;nienburg-joggeland
1080;1078;sea;1231;-1;-1;-1;-1;odenz-joggeland
14;2;sea;1182;-1;-1;-1;-1;de_pier-de_paaj
2;1037;sea;1182;-1;-1;-1;-1;de_paaj-coli_jnsplaats
1074;515;sea;1159;-1;-1;-1;-1;vissinghelm-newton
463;467;sea;1172;-1;-1;-1;-1;halle_centre-bastadon
816;802;sea;1268;-1;-1;-1;-1;eihunt_moor-ulmanaal
513;511;sea;1265;-1;-1;-1;-1;landuswyth-falsmouthe
513;506;sea;1265;-1;-1;-1;-1;landuswyth-paigneston
467;472;sea;1172;-1;-1;-1;-1;bastadon-irvelle
802;819;sea;1268;-1;-1;-1;-1;ulmanaal-mulaaan_moo
511;506;sea;1265;-1;-1;-1;-1;falsmouthe-paigneston
814;820;sea;1249;-1;-1;-1;-1;eereseimaal-ennmeia
788;337;sea;1154;-1;-1;-1;-1;rivere_ise-saint_lys
318;317;sea;1252;-1;-1;-1;-1;duvion-rennais
496;495;sea;1257;-1;-1;-1;-1;walterloo-borecastle
474;478;sea;1256;-1;-1;-1;-1;coulogne-wierre_effe
479;473;sea;1258;-1;-1;-1;-1;bazinghen-autinge
479;348;sea;1267;-1;-1;-1;-1;bazinghen-charmenix
314;352;sea;1253;-1;-1;-1;-1;lunnais-pays_de_loisir
473;348;sea;1267;-1;-1;-1;-1;autinge-charmenix
316;352;sea;1253;-1;-1;-1;-1;toury-pays_de_loisir
348;353;sea;1255;-1;-1;-1;-1;charmenix-loiree_haute
348;350;sea;1255;-1;-1;-1;-1;charmenix-centre_vixe
352;353;sea;1252;-1;-1;-1;-1;pays_de_loisir-loiree_haute
347;346;sea;1257;-1;-1;-1;-1;renoble-orne
346;345;sea;1257;-1;-1;-1;-1;orne-montelmar
224;225;sea;1242;-1;-1;-1;-1;mazzalora-azes
345;350;sea;1255;-1;-1;-1;-1;montelmar-centre_vixe
350;354;sea;1254;-1;-1;-1;-1;centre_vixe-pays_du_loiree
350;344;sea;1255;-1;-1;-1;-1;centre_vixe-chambery
414;442;sea;1263;-1;-1;-1;-1;morvinda-alexandroupoli
344;351;sea;1266;-1;-1;-1;-1;chambery-surenne
344;341;sea;1266;-1;-1;-1;-1;chambery-des_ecrins
120;118;sea;1228;-1;-1;-1;-1;redang-dalmaaten
343;341;sea;1266;-1;-1;-1;-1;montelune-des_ecrins
225;223;sea;1176;-1;-1;-1;-1;azes-cajarzes
970;962;sea;1262;-1;-1;-1;-1;niccia-panarea_pontina
227;218;sea;1157;-1;-1;-1;-1;las_palmas-la_rosa
834;833;sea;1227;-1;-1;-1;-1;groumana-kayes
836;831;sea;1209;-1;-1;-1;-1;kidal-narran_isles
229;232;sea;1151;-1;-1;-1;-1;mezaal_isle-cozaal_isle
844;855;sea;1215;-1;-1;-1;-1;khashepet-drostmeer
